[2018/08/23 14:27:50] [14:27:50]>status=-10038
[2018/08/23 14:28:52] [14:28:52]>status=1
[2018/08/23 14:28:55] [14:28:55]>status=1
[2018/08/23 14:29:13] [14:29:13]>status=-9
[2018/08/23 15:00:26] [15:00:26]>status=-10038
[2018/08/23 16:12:57] [16:12:57]>status=-10038
[2018/08/23 16:13:00] [16:13:00]>status=-10038
[2018/08/23 16:22:55] [16:22:55]>status=-10057
[2018/08/23 16:23:05] [16:23:05]>status=-10038
[2018/08/23 16:24:03] [16:24:03]>status=-10038
[2018/08/23 16:24:17] [16:24:17]>status=-10038
[2018/08/23 16:24:19] [16:24:19]>status=-10038
[2018/08/23 16:24:20] [16:24:20]>status=-10038
[2018/08/23 16:24:21] [16:24:21]>status=-10038
[2018/08/23 16:24:22] [16:24:22]>status=-10038
[2018/08/23 16:24:27] [16:24:27]>status=-10038
[2018/08/23 16:24:43] [16:24:43]>status=-10038
[2018/08/23 16:24:44] [16:24:44]>status=-10038
[2018/08/23 16:24:46] [16:24:46]>status=-10038
[2018/08/23 16:37:48] [16:37:48]>status=3
[2018/08/23 16:37:53] [16:37:53]>status=3
[2018/08/23 16:39:15] [16:39:15]>status=2
[2018/08/23 16:39:15] [16:39:15]>status=2
[2018/08/23 16:39:15] [16:39:15]>status=2
[2018/08/23 16:39:15] [16:39:15]>status=4
[2018/08/23 16:39:15] [16:39:15]>status=2
[2018/08/23 16:39:15] [16:39:15]>status=4
[2018/08/23 16:39:15] [16:39:15]>status=2
[2018/08/23 16:39:15] [16:39:15]>status=2
[2018/08/23 16:39:17] [16:39:17]>status=2
[2018/08/23 16:39:17] [16:39:17]>status=2
[2018/08/23 16:39:18] [16:39:18]>status=2
[2018/08/23 16:39:18] [16:39:18]>status=2
[2018/08/23 16:39:18] [16:39:18]>status=4
[2018/08/23 16:39:18] [16:39:18]>status=2
[2018/08/23 16:39:18] [16:39:18]>status=2
[2018/08/23 16:39:18] [16:39:18]>status=4
[2018/08/23 16:39:19] [16:39:19]>status=2
[2018/08/23 16:39:19] [16:39:19]>status=2
[2018/08/23 16:39:19] [16:39:19]>status=2
[2018/08/23 16:39:19] [16:39:19]>status=4
[2018/08/23 16:39:19] [16:39:19]>status=4
[2018/08/23 16:39:19] [16:39:19]>status=4
[2018/08/23 16:39:19] [16:39:19]>status=2
[2018/08/23 16:39:20] [16:39:20]>status=2
[2018/08/23 16:39:20] [16:39:20]>status=2
[2018/08/23 16:39:20] [16:39:20]>status=4
[2018/08/23 16:39:20] [16:39:20]>status=2
[2018/08/23 16:39:20] [16:39:20]>status=2
[2018/08/23 16:39:20] [16:39:20]>status=2
[2018/08/23 16:39:20] [16:39:20]>status=2
[2018/08/23 16:39:20] [16:39:20]>status=2
[2018/08/23 16:39:20] [16:39:20]>status=2
[2018/08/23 16:39:24] [16:39:24]>status=2
[2018/08/23 16:39:24] [16:39:24]>status=2
[2018/08/23 16:39:24] [16:39:24]>status=2
[2018/08/23 16:39:24] [16:39:24]>status=2
[2018/08/23 16:39:25] [16:39:25]>status=2
[2018/08/23 16:39:25] [16:39:25]>status=2
[2018/08/23 16:39:25] [16:39:25]>status=2
[2018/08/23 16:39:25] [16:39:25]>status=2
[2018/08/23 16:39:26] [16:39:26]>status=2
[2018/08/23 16:39:26] [16:39:26]>status=2
[2018/08/23 16:39:26] [16:39:26]>status=2
[2018/08/23 16:39:26] [16:39:26]>status=2
[2018/08/23 16:39:34] [16:39:34]>status=2
[2018/08/23 16:39:34] [16:39:34]>status=2
[2018/08/23 16:39:34] [16:39:34]>status=2
[2018/08/23 16:39:34] [16:39:34]>status=2
[2018/08/23 16:39:41] [16:39:41]>status=2
[2018/08/23 16:39:41] [16:39:41]>status=2
[2018/08/23 16:39:41] [16:39:41]>status=4
[2018/08/23 16:39:44] [16:39:44]>status=2
[2018/08/23 16:39:44] [16:39:44]>status=2
[2018/08/23 16:39:44] [16:39:44]>status=4
[2018/08/23 16:39:44] [16:39:44]>status=2
[2018/08/23 16:39:44] [16:39:44]>status=2
[2018/08/23 16:39:44] [16:39:44]>status=2
[2018/08/23 16:39:45] [16:39:45]>status=2
[2018/08/23 16:39:45] [16:39:45]>status=2
[2018/08/23 16:39:45] [16:39:45]>status=2
[2018/08/23 16:39:45] [16:39:45]>status=4
[2018/08/23 16:39:45] [16:39:45]>status=2
[2018/08/23 16:39:45] [16:39:45]>status=2
